order_id,date,product_id,product_name,category,quantity,unit_price,revenue,region
SO000026,2026-11-12,P023,Vendor Seal,Packaging,32,0.63,20.16,Latin America
SO000027,2026-07-14,P024,Industrial Sensor,Electronics,22,117.95,2594.9,Latin America
SO000028,2026-02-06,P006,Printed Circuit Board,Components,20,52.37,1047.4,Asia Pacific
SO000029,2026-04-12,P003,Aluminum Sheet,Raw Materials,29,14.61,423.69,Latin America
SO000030,2025-07-24,P014,Wiring Bundle,Components,3,30.16,90.48,Asia Pacific
SO000031,2025-05-23,P001,Steel Coil,Raw Materials,6,18.25,109.5,North America
SO000032,2025-05-22,P020,Insulation Tape,Raw Materials,14,5.32,74.48,North America
SO000033,2026-04-13,P011,Sensor Module,Electronics,21,92.68,1946.28,North America
SO000034,2026-05-02,P016,Battery Pack,Electronics,22,144.42,3177.24,Latin America
SO000035,2025-12-28,P016,Battery Pack,Electronics,6,140.77,844.62,EMEA
SO000036,2026-01-30,P019,Protective Film,Packaging,12,2.64,31.68,EMEA
SO000037,2025-08-07,P024,Industrial Sensor,Electronics,13,137.06,1781.78,EMEA
SO000038,2025-04-02,P016,Battery Pack,Electronics,21,146.86,3084.06,Asia Pacific
SO000039,2025-10-09,P007,Industrial Motor,Finished Goods,8,290.71,2325.68,Asia Pacific
SO000040,2026-08-12,P007,Industrial Motor,Finished Goods,29,296.12,8587.48,Latin America
SO000041,2026-02-19,P016,Battery Pack,Electronics,31,123.95,3842.45,Asia Pacific
SO000042,2026-04-24,P007,Industrial Motor,Finished Goods,15,288.6,4329.0,Europe
SO000043,2025-10-04,P012,Power Converter,Electronics,32,75.61,2419.52,Europe
SO000044,2025-08-20,P006,Printed Circuit Board,Components,18,45.14,812.52,Latin America
SO000045,2025-01-14,P010,Shipping Crate,Packaging,3,14.75,44.25,Europe
SO000046,2026-03-02,P009,Packaging Sleeve,Packaging,11,3.63,39.93,Europe
SO000047,2025-07-30,P004,Resistor Pack,Components,14,7.88,110.32,Asia Pacific
SO000048,2026-08-14,P003,Aluminum Sheet,Raw Materials,14,17.06,238.84,EMEA
SO000049,2025-04-14,P021,Drive Controller,Electronics,22,126.42,2781.24,Asia Pacific
SO000050,2025-10-17,P025,Bulk Resin,Raw Materials,5,34.16,170.8,Asia Pacific
SO000051,2025-12-01,P018,Inspection Tag,Packaging,26,0.83,21.58,Latin America
SO000052,2026-10-29,P016,Battery Pack,Electronics,9,133.48,1201.32,North America
SO000053,2025-06-03,P001,Steel Coil,Raw Materials,10,18.04,180.4,Asia Pacific
SO000054,2025-03-13,P003,Aluminum Sheet,Raw Materials,12,15.1,181.2,Latin America
SO000055,2026-10-02,P011,Sensor Module,Electronics,16,88.88,1422.08,EMEA
SO000056,2026-09-19,P002,Copper Wire,Raw Materials,31,23.63,732.53,Europe
SO000057,2025-02-19,P023,Vendor Seal,Packaging,10,0.71,7.1,Asia Pacific
SO000058,2026-02-12,P012,Power Converter,Electronics,20,74.71,1494.2,EMEA
SO000059,2025-11-28,P012,Power Converter,Electronics,15,77.98,1169.7,North America
SO000060,2026-10-05,P002,Copper Wire,Raw Materials,5,21.01,105.05,Latin America
SO000061,2026-01-30,P011,Sensor Module,Electronics,22,90.88,1999.36,Asia Pacific
SO000062,2025-07-02,P023,Vendor Seal,Packaging,14,0.82,11.48,Europe
SO000063,2026-06-19,P018,Inspection Tag,Packaging,15,0.87,13.05,EMEA
SO000064,2025-06-24,P005,Capacitor Kit,Components,22,11.77,258.94,Latin America
SO000065,2025-02-04,P017,Cooling Fan,Finished Goods,11,39.18,430.98,EMEA
SO000066,2026-05-30,P009,Packaging Sleeve,Packaging,1,4.07,4.07,Europe
SO000067,2025-12-15,P019,Protective Film,Packaging,28,2.18,61.04,North America
SO000068,2026-09-24,P005,Capacitor Kit,Components,29,12.11,351.19,Europe
SO000069,2025-08-27,P011,Sensor Module,Electronics,16,98.49,1575.84,Asia Pacific
SO000070,2025-10-18,P016,Battery Pack,Electronics,20,143.34,2866.8,Asia Pacific
SO000071,2025-03-23,P020,Insulation Tape,Raw Materials,21,5.48,115.08,EMEA
SO000072,2026-01-05,P020,Insulation Tape,Raw Materials,11,5.12,56.32,Europe
SO000073,2026-07-08,P003,Aluminum Sheet,Raw Materials,3,16.46,49.38,Latin America
SO000074,2025-07-18,P023,Vendor Seal,Packaging,6,0.78,4.68,Latin America
SO000075,2026-12-09,P018,Inspection Tag,Packaging,14,0.79,11.06,Latin America
SO000076,2025-09-10,P015,Fastener Kit,Components,10,7.06,70.6,Asia Pacific
SO000077,2026-02-28,P017,Cooling Fan,Finished Goods,21,41.94,880.74,North America
SO000078,2026-02-21,P002,Copper Wire,Raw Materials,8,24.52,196.16,Asia Pacific
SO000079,2026-10-24,P018,Inspection Tag,Packaging,31,0.88,27.28,Europe
SO000080,2025-05-29,P011,Sensor Module,Electronics,12,98.57,1182.84,Europe
SO000081,2026-04-30,P011,Sensor Module,Electronics,30,81.75,2452.5,Europe
SO000082,2026-04-28,P007,Industrial Motor,Finished Goods,1,325.31,325.31,North America
SO000083,2026-07-05,P013,Quality Label,Packaging,29,1.61,46.69,Europe
SO000084,2025-05-15,P014,Wiring Bundle,Components,18,26.84,483.12,Asia Pacific
SO000085,2026-05-21,P010,Shipping Crate,Packaging,27,14.97,404.19,Europe
SO000086,2025-01-12,P009,Packaging Sleeve,Packaging,8,3.39,27.12,Europe
SO000087,2026-12-12,P023,Vendor Seal,Packaging,32,0.64,20.48,North America
SO000088,2025-04-02,P009,Packaging Sleeve,Packaging,11,3.65,40.15,Europe
SO000089,2025-04-15,P011,Sensor Module,Electronics,5,89.71,448.55,Europe
SO000090,2026-10-24,P011,Sensor Module,Electronics,26,90.83,2361.58,Latin America
SO000091,2026-01-03,P022,Assembly Frame,Finished Goods,27,162.85,4396.95,Europe
SO000092,2026-07-30,P022,Assembly Frame,Finished Goods,23,157.88,3631.24,North America
SO000093,2026-08-14,P025,Bulk Resin,Raw Materials,15,34.45,516.75,Europe
SO000094,2026-08-25,P020,Insulation Tape,Raw Materials,29,4.97,144.13,North America
SO000095,2026-09-10,P004,Resistor Pack,Components,6,8.39,50.34,Europe
SO000096,2026-05-26,P001,Steel Coil,Raw Materials,4,16.81,67.24,Latin America
SO000097,2026-09-02,P013,Quality Label,Packaging,25,1.43,35.75,Latin America
SO000098,2025-10-02,P015,Fastener Kit,Components,29,7.18,208.22,EMEA
SO000099,2025-09-04,P016,Battery Pack,Electronics,8,136.88,1095.04,Latin America
SO000100,2026-04-11,P023,Vendor Seal,Packaging,4,0.65,2.6,Latin America
SO000101,2025-10-24,P005,Capacitor Kit,Components,25,11.94,298.5,Europe
SO000102,2026-12-24,P019,Protective Film,Packaging,25,2.14,53.5,Latin America
SO000103,2026-03-23,P022,Assembly Frame,Finished Goods,16,203.32,3253.12,EMEA
SO000104,2025-12-09,P009,Packaging Sleeve,Packaging,18,3.44,61.92,Latin America
SO000105,2025-10-16,P016,Battery Pack,Electronics,13,128.66,1672.58,Latin America
SO000106,2025-07-12,P015,Fastener Kit,Components,15,6.38,95.7,Asia Pacific
SO000107,2026-11-17,P013,Quality Label,Packaging,1,1.67,1.67,Europe
SO000108,2025-11-09,P009,Packaging Sleeve,Packaging,7,3.85,26.95,Latin America
SO000109,2025-04-05,P004,Resistor Pack,Components,16,7.91,126.56,EMEA
SO000110,2026-05-03,P018,Inspection Tag,Packaging,4,0.86,3.44,Europe
SO000111,2025-01-08,P022,Assembly Frame,Finished Goods,8,178.37,1426.96,Asia Pacific
SO000112,2025-07-04,P004,Resistor Pack,Components,31,7.52,233.12,Latin America
SO000113,2026-05-30,P023,Vendor Seal,Packaging,17,0.73,12.41,Asia Pacific
SO000114,2026-11-10,P007,Industrial Motor,Finished Goods,30,299.33,8979.9,North America
SO000115,2026-05-07,P012,Power Converter,Electronics,12,83.04,996.48,North America
SO000116,2026-05-24,P022,Assembly Frame,Finished Goods,24,177.37,4256.88,Europe
SO000117,2025-11-27,P024,Industrial Sensor,Electronics,21,156.41,3284.61,Latin America
SO000118,2025-11-14,P025,Bulk Resin,Raw Materials,9,33.75,303.75,Latin America
SO000119,2025-02-11,P002,Copper Wire,Raw Materials,9,19.67,177.03,North America
SO000120,2025-06-29,P013,Quality Label,Packaging,12,1.6,19.2,Latin America
SO000121,2026-04-19,P007,Industrial Motor,Finished Goods,29,332.02,9628.58,Latin America
SO000122,2026-02-06,P014,Wiring Bundle,Components,31,25.13,779.03,EMEA
SO000123,2026-01-22,P019,Protective Film,Packaging,13,2.15,27.95,Latin America
SO000124,2025-10-06,P018,Inspection Tag,Packaging,7,0.91,6.37,EMEA
SO000125,2026-11-21,P009,Packaging Sleeve,Packaging,14,4.08,57.12,North America
SO000126,2026-04-28,P019,Protective Film,Packaging,19,2.46,46.74,Latin America
SO000127,2025-06-14,P005,Capacitor Kit,Components,23,13.2,303.6,Asia Pacific
SO000128,2026-10-02,P001,Steel Coil,Raw Materials,17,18.26,310.42,North America
SO000129,2026-07-19,P010,Shipping Crate,Packaging,2,15.65,31.3,EMEA
SO000130,2026-07-18,P006,Printed Circuit Board,Components,23,53.1,1221.3,Latin America
SO000131,2025-02-06,P010,Shipping Crate,Packaging,32,16.2,518.4,Europe
SO000132,2025-09-16,P010,Shipping Crate,Packaging,10,13.98,139.8,North America
SO000133,2025-04-13,P019,Protective Film,Packaging,3,2.39,7.17,Latin America
SO000134,2025-09-08,P018,Inspection Tag,Packaging,21,0.84,17.64,Latin America
SO000135,2025-04-24,P023,Vendor Seal,Packaging,3,0.66,1.98,EMEA
SO000136,2025-02-18,P017,Cooling Fan,Finished Goods,27,45.25,1221.75,Latin America
SO000137,2025-08-29,P016,Battery Pack,Electronics,3,129.81,389.43,Asia Pacific
SO000138,2026-09-05,P022,Assembly Frame,Finished Goods,32,192.53,6160.96,EMEA
SO000139,2026-08-29,P004,Resistor Pack,Components,11,9.43,103.73,Latin America
SO000140,2025-05-18,P013,Quality Label,Packaging,19,1.52,28.88,Europe
SO000141,2025-04-28,P022,Assembly Frame,Finished Goods,2,181.88,363.76,Latin America
SO000142,2026-06-02,P024,Industrial Sensor,Electronics,20,144.17,2883.4,Latin America
SO000143,2025-09-27,P019,Protective Film,Packaging,17,2.51,42.67,Europe
SO000144,2025-05-11,P005,Capacitor Kit,Components,22,13.81,303.82,Europe
SO000145,2026-10-06,P009,Packaging Sleeve,Packaging,21,3.42,71.82,Europe
SO000146,2026-08-14,P015,Fastener Kit,Components,3,6.14,18.42,Latin America
SO000147,2025-10-21,P007,Industrial Motor,Finished Goods,6,343.99,2063.94,EMEA
SO000148,2025-06-09,P003,Aluminum Sheet,Raw Materials,13,15.87,206.31,Latin America
SO000149,2025-12-13,P013,Quality Label,Packaging,7,1.59,11.13,EMEA
SO000150,2026-03-22,P006,Printed Circuit Board,Components,2,45.25,90.5,North America
SO000151,2025-04-26,P002,Copper Wire,Raw Materials,21,23.66,496.86,Europe
SO000152,2025-10-19,P016,Battery Pack,Electronics,29,133.57,3873.53,EMEA
SO000153,2025-02-08,P002,Copper Wire,Raw Materials,3,20.32,60.96,Asia Pacific
SO000154,2026-12-20,P020,Insulation Tape,Raw Materials,30,5.51,165.3,Latin America
SO000155,2026-01-16,P015,Fastener Kit,Components,31,6.57,203.67,Asia Pacific
SO000156,2025-02-07,P023,Vendor Seal,Packaging,1,0.7,0.7,North America
SO000157,2025-02-15,P005,Capacitor Kit,Components,9,11.09,99.81,Europe
SO000158,2025-07-30,P002,Copper Wire,Raw Materials,24,23.54,564.96,Latin America
SO000159,2026-05-27,P016,Battery Pack,Electronics,9,150.97,1358.73,North America
SO000160,2026-05-24,P025,Bulk Resin,Raw Materials,11,34.92,384.12,Latin America
SO000161,2026-07-01,P023,Vendor Seal,Packaging,12,0.67,8.04,Latin America
SO000162,2025-10-01,P012,Power Converter,Electronics,13,83.98,1091.74,Europe
SO000163,2025-03-11,P013,Quality Label,Packaging,7,1.41,9.87,North America
SO000164,2025-11-16,P007,Industrial Motor,Finished Goods,29,312.19,9053.51,Europe
SO000165,2025-01-17,P002,Copper Wire,Raw Materials,11,19.8,217.8,North America
SO000166,2026-10-04,P002,Copper Wire,Raw Materials,25,24.08,602.0,Latin America
SO000167,2025-04-28,P005,Capacitor Kit,Components,21,13.97,293.37,North America
SO000168,2026-08-02,P021,Drive Controller,Electronics,10,119.34,1193.4,Europe
SO000169,2025-12-05,P001,Steel Coil,Raw Materials,4,16.68,66.72,Latin America
SO000170,2026-02-24,P012,Power Converter,Electronics,27,68.05,1837.35,Latin America
SO000171,2026-03-12,P012,Power Converter,Electronics,17,77.34,1314.78,Europe
SO000172,2025-07-27,P022,Assembly Frame,Finished Goods,7,167.31,1171.17,EMEA
SO000173,2026-12-23,P013,Quality Label,Packaging,3,1.39,4.17,Europe
SO000174,2025-12-12,P025,Bulk Resin,Raw Materials,16,33.11,529.76,EMEA
SO000175,2026-05-02,P004,Resistor Pack,Components,13,7.9,102.7,Latin America
SO000176,2026-08-16,P005,Capacitor Kit,Components,22,11.33,249.26,EMEA
SO000177,2025-02-18,P006,Printed Circuit Board,Components,19,50.85,966.15,EMEA
SO000178,2025-07-09,P010,Shipping Crate,Packaging,11,17.51,192.61,Asia Pacific
SO000179,2025-10-12,P008,Control Panel,Finished Goods,15,248.6,3729.0,North America
SO000180,2026-04-29,P024,Industrial Sensor,Electronics,10,135.74,1357.4,Latin America
SO000181,2026-07-17,P008,Control Panel,Finished Goods,29,233.8,6780.2,Asia Pacific
SO000182,2026-07-31,P025,Bulk Resin,Raw Materials,26,29.09,756.34,EMEA
SO000183,2026-09-19,P023,Vendor Seal,Packaging,13,0.62,8.06,Asia Pacific
SO000184,2025-12-14,P012,Power Converter,Electronics,8,95.3,762.4,Europe
SO000185,2025-04-15,P025,Bulk Resin,Raw Materials,8,31.31,250.48,North America
SO000186,2026-05-14,P023,Vendor Seal,Packaging,21,0.66,13.86,Europe
SO000187,2025-04-20,P023,Vendor Seal,Packaging,27,0.69,18.63,Asia Pacific
SO000188,2025-04-19,P014,Wiring Bundle,Components,5,30.36,151.8,North America
SO000189,2026-11-26,P004,Resistor Pack,Components,26,8.6,223.6,North America
SO000190,2025-10-18,P012,Power Converter,Electronics,17,78.44,1333.48,Asia Pacific
SO000191,2026-10-01,P011,Sensor Module,Electronics,4,92.47,369.88,Latin America
SO000192,2025-07-13,P009,Packaging Sleeve,Packaging,15,4.35,65.25,North America
SO000193,2026-08-29,P010,Shipping Crate,Packaging,20,17.29,345.8,Europe
SO000194,2025-03-07,P021,Drive Controller,Electronics,1,117.69,117.69,North America
SO000195,2025-03-11,P009,Packaging Sleeve,Packaging,17,3.88,65.96,Latin America
SO000196,2026-08-16,P021,Drive Controller,Electronics,3,130.6,391.8,Europe
SO000197,2025-10-27,P001,Steel Coil,Raw Materials,5,20.62,103.1,Asia Pacific
SO000198,2025-01-24,P012,Power Converter,Electronics,22,83.02,1826.44,Europe
SO000199,2025-02-02,P003,Aluminum Sheet,Raw Materials,7,16.76,117.32,EMEA
SO000200,2026-02-03,P011,Sensor Module,Electronics,4,81.89,327.56,Europe
SO000201,2026-10-20,P010,Shipping Crate,Packaging,18,13.3,239.4,Latin America
SO000202,2025-07-26,P010,Shipping Crate,Packaging,30,15.22,456.6,North America
SO000203,2025-04-12,P012,Power Converter,Electronics,20,77.46,1549.2,Europe
SO000204,2026-04-10,P001,Steel Coil,Raw Materials,15,17.31,259.65,Asia Pacific
SO000205,2025-12-04,P013,Quality Label,Packaging,4,1.34,5.36,Europe
SO000206,2025-04-09,P001,Steel Coil,Raw Materials,29,17.72,513.88,EMEA
SO000207,2025-08-19,P002,Copper Wire,Raw Materials,1,23.35,23.35,Latin America
SO000208,2025-01-13,P023,Vendor Seal,Packaging,23,0.73,16.79,North America
SO000209,2026-05-25,P020,Insulation Tape,Raw Materials,1,4.52,4.52,North America
SO000210,2025-05-17,P016,Battery Pack,Electronics,30,127.03,3810.9,North America
SO000211,2025-11-06,P024,Industrial Sensor,Electronics,19,175.14,3327.66,Asia Pacific
SO000212,2025-02-27,P009,Packaging Sleeve,Packaging,10,3.86,38.6,Asia Pacific
SO000213,2025-09-09,P021,Drive Controller,Electronics,13,106.44,1383.72,North America
SO000214,2026-08-12,P001,Steel Coil,Raw Materials,10,18.18,181.8,North America
SO000215,2025-10-02,P002,Copper Wire,Raw Materials,8,22.12,176.96,EMEA
SO000216,2026-09-09,P011,Sensor Module,Electronics,26,81.76,2125.76,Europe
SO000217,2026-01-25,P013,Quality Label,Packaging,14,1.38,19.32,North America
SO000218,2025-09-30,P020,Insulation Tape,Raw Materials,23,5.47,125.81,Latin America
SO000219,2026-03-03,P022,Assembly Frame,Finished Goods,24,189.55,4549.2,Latin America
SO000220,2026-04-16,P019,Protective Film,Packaging,28,2.28,63.84,Asia Pacific
SO000221,2025-05-11,P004,Resistor Pack,Components,32,9.15,292.8,North America
SO000222,2025-05-12,P023,Vendor Seal,Packaging,32,0.67,21.44,Asia Pacific
SO000223,2026-01-10,P022,Assembly Frame,Finished Goods,4,163.34,653.36,North America
SO000224,2026-07-17,P008,Control Panel,Finished Goods,14,209.84,2937.76,North America
SO000225,2025-10-07,P019,Protective Film,Packaging,22,2.2,48.4,Europe
SO000226,2026-04-03,P011,Sensor Module,Electronics,32,91.3,2921.6,North America
SO000227,2025-07-20,P019,Protective Film,Packaging,18,2.78,50.04,Asia Pacific
SO000228,2026-01-04,P004,Resistor Pack,Components,14,8.53,119.42,Asia Pacific
SO000229,2025-12-15,P019,Protective Film,Packaging,18,2.66,47.88,Latin America
SO000230,2025-03-19,P002,Copper Wire,Raw Materials,18,24.52,441.36,Europe
SO000231,2025-02-06,P016,Battery Pack,Electronics,7,126.93,888.51,Asia Pacific
SO000232,2026-07-22,P021,Drive Controller,Electronics,22,111.12,2444.64,North America
SO000233,2026-03-18,P021,Drive Controller,Electronics,4,110.54,442.16,EMEA
SO000234,2026-01-23,P008,Control Panel,Finished Goods,24,246.94,5926.56,Asia Pacific
SO000235,2025-06-04,P022,Assembly Frame,Finished Goods,22,194.15,4271.3,Latin America
SO000236,2026-11-04,P023,Vendor Seal,Packaging,9,0.63,5.67,Latin America
SO000237,2025-02-23,P012,Power Converter,Electronics,28,81.32,2276.96,North America
SO000238,2026-10-25,P025,Bulk Resin,Raw Materials,27,31.7,855.9,North America
SO000239,2025-12-14,P001,Steel Coil,Raw Materials,10,18.09,180.9,Asia Pacific
SO000240,2025-04-02,P024,Industrial Sensor,Electronics,4,140.02,560.08,Latin America
SO000241,2026-10-28,P021,Drive Controller,Electronics,26,113.94,2962.44,Latin America
SO000242,2026-06-16,P013,Quality Label,Packaging,9,1.5,13.5,Asia Pacific
SO000243,2026-03-11,P017,Cooling Fan,Finished Goods,14,39.84,557.76,Asia Pacific
SO000244,2025-05-17,P016,Battery Pack,Electronics,24,134.38,3225.12,Asia Pacific
SO000245,2026-12-04,P007,Industrial Motor,Finished Goods,27,348.2,9401.4,Asia Pacific
SO000246,2026-12-21,P002,Copper Wire,Raw Materials,14,21.96,307.44,Europe
SO000247,2025-06-05,P024,Industrial Sensor,Electronics,25,162.87,4071.75,EMEA
SO000248,2025-03-19,P008,Control Panel,Finished Goods,31,262.3,8131.3,North America
SO000249,2026-10-11,P016,Battery Pack,Electronics,3,150.72,452.16,North America
SO000250,2025-06-22,P009,Packaging Sleeve,Packaging,8,4.15,33.2,EMEA
SO000251,2025-10-02,P016,Battery Pack,Electronics,24,132.61,3182.64,EMEA
SO000252,2025-06-24,P025,Bulk Resin,Raw Materials,22,35.25,775.5,Europe
SO000253,2026-09-12,P011,Sensor Module,Electronics,13,101.36,1317.68,EMEA
SO000254,2025-07-04,P005,Capacitor Kit,Components,14,11.31,158.34,Latin America
SO000255,2026-09-22,P011,Sensor Module,Electronics,5,90.76,453.8,North America
SO000256,2025-01-12,P023,Vendor Seal,Packaging,30,0.7,21.0,Europe
SO000257,2025-12-24,P005,Capacitor Kit,Components,27,13.99,377.73,North America
SO000258,2025-04-03,P009,Packaging Sleeve,Packaging,27,3.43,92.61,Asia Pacific
SO000259,2025-10-15,P007,Industrial Motor,Finished Goods,21,335.86,7053.06,EMEA
SO000260,2026-01-27,P011,Sensor Module,Electronics,27,84.31,2276.37,Asia Pacific
SO000261,2025-02-02,P012,Power Converter,Electronics,18,76.93,1384.74,Asia Pacific
SO000262,2025-11-28,P025,Bulk Resin,Raw Materials,27,30.21,815.67,EMEA
SO000263,2025-05-28,P005,Capacitor Kit,Components,25,11.3,282.5,Europe
SO000264,2026-11-21,P006,Printed Circuit Board,Components,25,50.59,1264.75,Asia Pacific
SO000265,2025-11-04,P024,Industrial Sensor,Electronics,21,183.59,3855.39,EMEA
SO000266,2026-04-13,P025,Bulk Resin,Raw Materials,14,30.93,433.02,North America
SO000267,2025-11-13,P019,Protective Film,Packaging,25,2.57,64.25,Europe
SO000268,2026-02-19,P008,Control Panel,Finished Goods,30,272.93,8187.9,Latin America
SO000269,2026-07-12,P002,Copper Wire,Raw Materials,28,21.0,588.0,North America
SO000270,2026-04-21,P008,Control Panel,Finished Goods,28,248.21,6949.88,Asia Pacific
SO000271,2026-01-03,P005,Capacitor Kit,Components,8,13.03,104.24,Latin America
SO000272,2026-07-19,P024,Industrial Sensor,Electronics,9,113.14,1018.26,North America
SO000273,2026-03-15,P022,Assembly Frame,Finished Goods,5,189.15,945.75,Asia Pacific
SO000274,2025-03-31,P025,Bulk Resin,Raw Materials,2,28.26,56.52,North America
SO000275,2026-12-10,P005,Capacitor Kit,Components,2,11.13,22.26,Asia Pacific
SO000276,2025-11-30,P025,Bulk Resin,Raw Materials,17,33.76,573.92,North America
SO000277,2025-06-09,P020,Insulation Tape,Raw Materials,2,5.18,10.36,Europe
SO000278,2025-07-03,P010,Shipping Crate,Packaging,1,15.89,15.89,North America
SO000279,2025-11-14,P002,Copper Wire,Raw Materials,32,23.35,747.2,Asia Pacific
SO000280,2025-10-30,P010,Shipping Crate,Packaging,25,12.83,320.75,EMEA
SO000281,2025-03-22,P019,Protective Film,Packaging,18,2.34,42.12,Latin America
SO000282,2026-06-06,P025,Bulk Resin,Raw Materials,7,32.17,225.19,Europe
SO000283,2025-10-11,P012,Power Converter,Electronics,7,71.83,502.81,Europe
SO000284,2025-08-21,P001,Steel Coil,Raw Materials,22,17.63,387.86,Europe
SO000285,2025-03-25,P021,Drive Controller,Electronics,6,126.35,758.1,Europe
SO000286,2026-04-26,P021,Drive Controller,Electronics,1,114.3,114.3,Asia Pacific
SO000287,2025-10-08,P011,Sensor Module,Electronics,10,98.73,987.3,EMEA
SO000288,2025-10-16,P006,Printed Circuit Board,Components,18,47.09,847.62,North America
SO000289,2026-05-15,P020,Insulation Tape,Raw Materials,5,5.3,26.5,North America
SO000290,2025-05-17,P011,Sensor Module,Electronics,22,91.51,2013.22,North America
SO000291,2026-07-01,P020,Insulation Tape,Raw Materials,17,5.0,85.0,Latin America
SO000292,2025-09-23,P002,Copper Wire,Raw Materials,26,21.86,568.36,Europe
SO000293,2026-07-24,P025,Bulk Resin,Raw Materials,17,35.67,606.39,Latin America
SO000294,2026-10-17,P014,Wiring Bundle,Components,24,28.71,689.04,EMEA
SO000295,2026-08-22,P024,Industrial Sensor,Electronics,15,133.6,2004.0,North America
SO000296,2026-04-23,P009,Packaging Sleeve,Packaging,6,3.89,23.34,EMEA
SO000297,2026-08-23,P011,Sensor Module,Electronics,3,81.44,244.32,North America
SO000298,2026-01-01,P009,Packaging Sleeve,Packaging,21,3.89,81.69,Latin America
SO000299,2026-07-22,P013,Quality Label,Packaging,20,1.79,35.8,Asia Pacific
SO000300,2026-12-13,P013,Quality Label,Packaging,23,1.5,34.5,North America
SO000301,2025-09-14,P017,Cooling Fan,Finished Goods,13,38.39,499.07,North America
SO000302,2026-06-19,P011,Sensor Module,Electronics,8,99.42,795.36,Europe
SO000303,2026-09-22,P013,Quality Label,Packaging,18,1.48,26.64,Europe
SO000304,2026-10-29,P020,Insulation Tape,Raw Materials,25,4.42,110.5,EMEA
SO000305,2025-03-03,P023,Vendor Seal,Packaging,17,0.77,13.09,North America
SO000306,2026-06-09,P014,Wiring Bundle,Components,12,26.48,317.76,North America
SO000307,2025-03-07,P012,Power Converter,Electronics,18,71.32,1283.76,Latin America
SO000308,2026-06-19,P023,Vendor Seal,Packaging,3,0.7,2.1,EMEA
SO000309,2026-05-22,P002,Copper Wire,Raw Materials,15,20.76,311.4,Latin America
SO000310,2025-04-27,P020,Insulation Tape,Raw Materials,16,5.29,84.64,North America
SO000311,2025-06-27,P016,Battery Pack,Electronics,10,137.17,1371.7,North America
SO000312,2025-09-25,P008,Control Panel,Finished Goods,26,280.0,7280.0,Europe
SO000313,2026-10-17,P021,Drive Controller,Electronics,27,117.12,3162.24,EMEA
SO000314,2025-08-29,P021,Drive Controller,Electronics,17,107.54,1828.18,Latin America
SO000315,2026-05-06,P002,Copper Wire,Raw Materials,32,23.88,764.16,Asia Pacific
SO000316,2025-11-29,P009,Packaging Sleeve,Packaging,6,4.23,25.38,North America
SO000317,2026-09-19,P023,Vendor Seal,Packaging,1,0.7,0.7,Asia Pacific
SO000318,2026-09-27,P025,Bulk Resin,Raw Materials,10,29.93,299.3,Europe
SO000319,2025-05-07,P004,Resistor Pack,Components,5,8.5,42.5,Europe
SO000320,2025-02-10,P025,Bulk Resin,Raw Materials,4,34.68,138.72,EMEA
SO000321,2025-12-31,P016,Battery Pack,Electronics,32,172.48,5519.36,Asia Pacific
