vendor_id,vendor_name,category,location,contract_type,payment_terms,rating
V0101,Raw Materials Supply Co. 101,Raw Materials,Spain,Term,Net 60,4.66
V0102,Raw Materials Supply Co. 102,Raw Materials,Poland,Fixed,Net 30,3.52
V0103,Raw Materials Supply Co. 103,Raw Materials,Poland,Fixed,Net 30,4.8
V0104,Components Supply Co. 104,Components,Poland,Variable,Net 30,4.72
V0105,Components Supply Co. 105,Components,Germany,Fixed,Net 45,4.16
V0106,Components Supply Co. 106,Components,Vietnam,Variable,Net 45,3.39
V0107,Finished Goods Supply Co. 107,Finished Goods,Mexico,Variable,Net 30,3.89
V0108,Finished Goods Supply Co. 108,Finished Goods,Vietnam,Fixed,Net 30,3.83
V0109,Packaging Supply Co. 109,Packaging,Spain,Fixed,Net 45,4.69
V0110,Packaging Supply Co. 110,Packaging,Spain,Term,Net 60,3.35
V0111,Electronics Supply Co. 111,Electronics,Germany,Term,Net 60,3.68
V0112,Electronics Supply Co. 112,Electronics,Brazil,Fixed,Prepaid,4.11
V0113,Packaging Supply Co. 113,Packaging,Mexico,Fixed,Prepaid,3.93
V0114,Components Supply Co. 114,Components,China,Fixed,Prepaid,3.6
V0115,Components Supply Co. 115,Components,Mexico,Variable,Net 60,3.94
V0116,Electronics Supply Co. 116,Electronics,Vietnam,Fixed,Net 45,4.0
V0117,Finished Goods Supply Co. 117,Finished Goods,Vietnam,Variable,Net 45,3.98
V0118,Packaging Supply Co. 118,Packaging,Mexico,Term,Net 60,3.68
V0119,Packaging Supply Co. 119,Packaging,Spain,Fixed,Net 60,3.62
V0120,Raw Materials Supply Co. 120,Raw Materials,China,Variable,Net 30,3.68
V0121,Electronics Supply Co. 121,Electronics,Vietnam,Variable,Prepaid,3.92
V0122,Finished Goods Supply Co. 122,Finished Goods,Poland,Variable,Prepaid,3.81
V0123,Packaging Supply Co. 123,Packaging,Spain,Term,Net 45,3.96
V0124,Electronics Supply Co. 124,Electronics,Mexico,Fixed,Prepaid,4.5
V0125,Raw Materials Supply Co. 125,Raw Materials,USA,Fixed,Net 60,3.44
V0126,Raw Materials Supply Co. 126,Raw Materials,Vietnam,Variable,Prepaid,4.7
V0127,Raw Materials Supply Co. 127,Raw Materials,Spain,Term,Prepaid,3.81
V0128,Raw Materials Supply Co. 128,Raw Materials,USA,Variable,Net 30,4.39
V0129,Components Supply Co. 129,Components,India,Fixed,Net 45,4.62
V0130,Components Supply Co. 130,Components,Poland,Fixed,Net 60,3.34
V0131,Components Supply Co. 131,Components,Brazil,Variable,Net 30,4.97
V0132,Finished Goods Supply Co. 132,Finished Goods,China,Fixed,Net 45,4.9
V0133,Finished Goods Supply Co. 133,Finished Goods,Brazil,Variable,Net 45,4.47
V0134,Packaging Supply Co. 134,Packaging,Germany,Variable,Net 45,3.39
V0135,Packaging Supply Co. 135,Packaging,India,Term,Net 30,3.53
V0136,Electronics Supply Co. 136,Electronics,Poland,Term,Prepaid,4.38
V0137,Electronics Supply Co. 137,Electronics,Mexico,Fixed,Net 60,4.29
V0138,Packaging Supply Co. 138,Packaging,India,Variable,Net 60,4.71
V0139,Components Supply Co. 139,Components,USA,Variable,Net 45,3.24
V0140,Components Supply Co. 140,Components,Mexico,Fixed,Prepaid,3.56
V0141,Electronics Supply Co. 141,Electronics,India,Variable,Prepaid,3.75
V0142,Finished Goods Supply Co. 142,Finished Goods,Vietnam,Fixed,Prepaid,4.75
V0143,Packaging Supply Co. 143,Packaging,Poland,Variable,Net 60,4.97
V0144,Packaging Supply Co. 144,Packaging,Vietnam,Fixed,Net 60,4.08
V0145,Raw Materials Supply Co. 145,Raw Materials,Mexico,Fixed,Net 30,4.98
V0146,Electronics Supply Co. 146,Electronics,China,Variable,Prepaid,4.33
V0147,Finished Goods Supply Co. 147,Finished Goods,Vietnam,Term,Net 30,4.03
V0148,Packaging Supply Co. 148,Packaging,Brazil,Variable,Net 45,4.12
V0149,Electronics Supply Co. 149,Electronics,India,Variable,Prepaid,3.45
V0150,Raw Materials Supply Co. 150,Raw Materials,Mexico,Fixed,Prepaid,4.16
V0151,Raw Materials Supply Co. 151,Raw Materials,Poland,Fixed,Net 45,4.51
V0152,Raw Materials Supply Co. 152,Raw Materials,China,Variable,Net 30,4.64
V0153,Raw Materials Supply Co. 153,Raw Materials,USA,Fixed,Net 60,4.89
V0154,Components Supply Co. 154,Components,China,Fixed,Net 60,3.43
V0155,Components Supply Co. 155,Components,China,Fixed,Net 30,4.55
V0156,Components Supply Co. 156,Components,China,Variable,Prepaid,4.84
V0157,Finished Goods Supply Co. 157,Finished Goods,USA,Fixed,Net 60,4.8
V0158,Finished Goods Supply Co. 158,Finished Goods,Germany,Variable,Prepaid,3.48
V0159,Packaging Supply Co. 159,Packaging,Mexico,Fixed,Net 30,4.05
V0160,Packaging Supply Co. 160,Packaging,USA,Fixed,Net 60,3.79
V0161,Electronics Supply Co. 161,Electronics,USA,Fixed,Net 45,4.76
V0162,Electronics Supply Co. 162,Electronics,Germany,Variable,Prepaid,3.56
V0163,Packaging Supply Co. 163,Packaging,China,Fixed,Prepaid,3.58
V0164,Components Supply Co. 164,Components,China,Variable,Prepaid,4.5
V0165,Components Supply Co. 165,Components,Spain,Term,Net 45,4.94
V0166,Electronics Supply Co. 166,Electronics,Spain,Term,Prepaid,3.37
V0167,Finished Goods Supply Co. 167,Finished Goods,Brazil,Variable,Net 30,4.56
V0168,Packaging Supply Co. 168,Packaging,Mexico,Variable,Net 45,3.41
V0169,Packaging Supply Co. 169,Packaging,Brazil,Variable,Net 45,4.82
V0170,Raw Materials Supply Co. 170,Raw Materials,Canada,Fixed,Net 45,4.37
V0171,Electronics Supply Co. 171,Electronics,India,Fixed,Net 60,3.92
V0172,Finished Goods Supply Co. 172,Finished Goods,Spain,Variable,Net 60,4.71
V0173,Packaging Supply Co. 173,Packaging,Spain,Term,Net 30,4.63
V0174,Electronics Supply Co. 174,Electronics,Poland,Fixed,Net 60,4.02
V0175,Raw Materials Supply Co. 175,Raw Materials,Vietnam,Variable,Net 30,4.88
V0176,Raw Materials Supply Co. 176,Raw Materials,Poland,Fixed,Net 60,4.94
V0177,Raw Materials Supply Co. 177,Raw Materials,Germany,Variable,Net 60,4.18
V0178,Raw Materials Supply Co. 178,Raw Materials,Poland,Term,Net 30,4.66
V0179,Components Supply Co. 179,Components,India,Fixed,Net 30,3.33
V0180,Components Supply Co. 180,Components,Spain,Variable,Prepaid,4.64
V0181,Components Supply Co. 181,Components,Vietnam,Term,Prepaid,4.17
V0182,Finished Goods Supply Co. 182,Finished Goods,China,Term,Net 45,3.25
V0183,Finished Goods Supply Co. 183,Finished Goods,Canada,Fixed,Net 60,3.23
V0184,Packaging Supply Co. 184,Packaging,USA,Variable,Net 30,4.55
V0185,Packaging Supply Co. 185,Packaging,Poland,Fixed,Net 60,4.49
V0186,Electronics Supply Co. 186,Electronics,India,Term,Net 45,3.78
V0187,Electronics Supply Co. 187,Electronics,Spain,Variable,Prepaid,3.63
V0188,Packaging Supply Co. 188,Packaging,Mexico,Variable,Prepaid,3.65
V0189,Components Supply Co. 189,Components,China,Variable,Net 30,4.26
V0190,Components Supply Co. 190,Components,Vietnam,Fixed,Net 30,4.1
V0191,Electronics Supply Co. 191,Electronics,Brazil,Fixed,Net 30,4.15
V0192,Finished Goods Supply Co. 192,Finished Goods,China,Fixed,Net 60,3.68
V0193,Packaging Supply Co. 193,Packaging,Canada,Term,Net 30,3.84
V0194,Packaging Supply Co. 194,Packaging,Poland,Fixed,Net 30,4.21
V0195,Raw Materials Supply Co. 195,Raw Materials,Brazil,Variable,Net 45,4.02
V0196,Electronics Supply Co. 196,Electronics,Germany,Term,Prepaid,3.92
V0197,Finished Goods Supply Co. 197,Finished Goods,USA,Fixed,Net 30,3.67
V0198,Packaging Supply Co. 198,Packaging,China,Variable,Net 60,3.35
V0199,Electronics Supply Co. 199,Electronics,China,Term,Net 30,3.59
V0200,Raw Materials Supply Co. 200,Raw Materials,Poland,Fixed,Prepaid,4.19
V0201,Raw Materials Supply Co. 201,Raw Materials,USA,Fixed,Prepaid,4.71
V0202,Raw Materials Supply Co. 202,Raw Materials,Poland,Variable,Net 30,4.92
V0203,Raw Materials Supply Co. 203,Raw Materials,Brazil,Variable,Prepaid,3.28
V0204,Components Supply Co. 204,Components,Germany,Fixed,Net 30,3.7
V0205,Components Supply Co. 205,Components,USA,Fixed,Net 30,4.05
V0206,Components Supply Co. 206,Components,India,Fixed,Net 45,4.19
V0207,Finished Goods Supply Co. 207,Finished Goods,Poland,Variable,Net 45,4.09
V0208,Finished Goods Supply Co. 208,Finished Goods,USA,Variable,Net 45,4.17
V0209,Packaging Supply Co. 209,Packaging,Spain,Fixed,Net 30,3.23
V0210,Packaging Supply Co. 210,Packaging,Canada,Variable,Prepaid,4.41
V0211,Electronics Supply Co. 211,Electronics,China,Fixed,Net 45,4.21
V0212,Electronics Supply Co. 212,Electronics,Poland,Variable,Prepaid,3.7
V0213,Packaging Supply Co. 213,Packaging,China,Variable,Net 30,3.82
V0214,Components Supply Co. 214,Components,China,Term,Net 45,4.68
V0215,Components Supply Co. 215,Components,Spain,Term,Net 45,4.44
V0216,Electronics Supply Co. 216,Electronics,Mexico,Fixed,Net 30,3.45
V0217,Finished Goods Supply Co. 217,Finished Goods,Canada,Fixed,Prepaid,4.33
V0218,Packaging Supply Co. 218,Packaging,Vietnam,Fixed,Net 60,3.35
V0219,Packaging Supply Co. 219,Packaging,Vietnam,Fixed,Net 60,3.63
V0220,Raw Materials Supply Co. 220,Raw Materials,Canada,Term,Net 60,4.27
V0221,Electronics Supply Co. 221,Electronics,Vietnam,Variable,Net 45,3.75
V0222,Finished Goods Supply Co. 222,Finished Goods,Poland,Fixed,Net 30,3.82
V0223,Packaging Supply Co. 223,Packaging,China,Variable,Net 30,3.64
V0224,Electronics Supply Co. 224,Electronics,Spain,Variable,Net 45,4.29
V0225,Raw Materials Supply Co. 225,Raw Materials,Poland,Term,Prepaid,3.4
V0226,Raw Materials Supply Co. 226,Raw Materials,China,Fixed,Net 60,3.47
V0227,Raw Materials Supply Co. 227,Raw Materials,India,Fixed,Net 60,4.91
V0228,Raw Materials Supply Co. 228,Raw Materials,Canada,Variable,Net 30,4.0
V0229,Components Supply Co. 229,Components,Germany,Fixed,Net 60,4.0
V0230,Components Supply Co. 230,Components,Germany,Term,Net 60,3.99
V0231,Components Supply Co. 231,Components,Spain,Variable,Net 60,3.65
V0232,Finished Goods Supply Co. 232,Finished Goods,Vietnam,Variable,Net 60,4.75
V0233,Finished Goods Supply Co. 233,Finished Goods,China,Fixed,Net 30,3.57
V0234,Packaging Supply Co. 234,Packaging,India,Variable,Prepaid,3.6
V0235,Packaging Supply Co. 235,Packaging,Mexico,Fixed,Net 30,3.61
V0236,Electronics Supply Co. 236,Electronics,China,Variable,Prepaid,3.57
V0237,Electronics Supply Co. 237,Electronics,Poland,Fixed,Prepaid,4.45
V0238,Packaging Supply Co. 238,Packaging,Mexico,Term,Prepaid,3.64
V0239,Components Supply Co. 239,Components,Poland,Fixed,Net 45,3.74
V0240,Components Supply Co. 240,Components,Canada,Variable,Net 45,4.0
V0241,Electronics Supply Co. 241,Electronics,Canada,Variable,Net 30,4.3
V0242,Finished Goods Supply Co. 242,Finished Goods,USA,Variable,Net 60,4.21
V0243,Packaging Supply Co. 243,Packaging,Canada,Fixed,Net 60,4.64
V0244,Packaging Supply Co. 244,Packaging,Vietnam,Variable,Net 60,4.55
V0245,Raw Materials Supply Co. 245,Raw Materials,Poland,Fixed,Prepaid,4.15
V0246,Electronics Supply Co. 246,Electronics,Canada,Variable,Net 60,4.74
V0247,Finished Goods Supply Co. 247,Finished Goods,Brazil,Variable,Prepaid,3.84
V0248,Packaging Supply Co. 248,Packaging,USA,Fixed,Net 45,3.51
V0249,Electronics Supply Co. 249,Electronics,Vietnam,Fixed,Net 45,3.98
V0250,Raw Materials Supply Co. 250,Raw Materials,Brazil,Fixed,Net 30,4.97
V0251,Raw Materials Supply Co. 251,Raw Materials,Germany,Fixed,Net 30,4.02
V0252,Raw Materials Supply Co. 252,Raw Materials,Mexico,Variable,Net 30,3.95
V0253,Raw Materials Supply Co. 253,Raw Materials,Mexico,Fixed,Net 30,3.37
V0254,Components Supply Co. 254,Components,Germany,Variable,Net 45,4.03
V0255,Components Supply Co. 255,Components,Canada,Fixed,Net 30,4.69
V0256,Components Supply Co. 256,Components,Brazil,Term,Prepaid,3.81
V0257,Finished Goods Supply Co. 257,Finished Goods,China,Fixed,Net 60,3.63
V0258,Finished Goods Supply Co. 258,Finished Goods,Spain,Variable,Net 30,4.85
V0259,Packaging Supply Co. 259,Packaging,Poland,Variable,Prepaid,4.56
V0260,Packaging Supply Co. 260,Packaging,China,Fixed,Prepaid,3.96
V0261,Electronics Supply Co. 261,Electronics,Germany,Variable,Net 30,4.01
V0262,Electronics Supply Co. 262,Electronics,Mexico,Variable,Net 30,3.93
V0263,Packaging Supply Co. 263,Packaging,Canada,Variable,Net 60,4.48
V0264,Components Supply Co. 264,Components,Poland,Fixed,Net 30,3.83
V0265,Components Supply Co. 265,Components,China,Fixed,Net 45,4.28
V0266,Electronics Supply Co. 266,Electronics,India,Fixed,Prepaid,4.61
V0267,Finished Goods Supply Co. 267,Finished Goods,Brazil,Fixed,Net 30,3.94
V0268,Packaging Supply Co. 268,Packaging,Germany,Variable,Net 60,3.77
V0269,Packaging Supply Co. 269,Packaging,Vietnam,Term,Net 60,3.62
V0270,Raw Materials Supply Co. 270,Raw Materials,Vietnam,Variable,Prepaid,3.66
V0271,Electronics Supply Co. 271,Electronics,Poland,Variable,Prepaid,3.72
V0272,Finished Goods Supply Co. 272,Finished Goods,India,Fixed,Prepaid,3.49
V0273,Packaging Supply Co. 273,Packaging,Poland,Fixed,Net 60,3.76
V0274,Electronics Supply Co. 274,Electronics,Vietnam,Fixed,Net 45,4.28
V0275,Raw Materials Supply Co. 275,Raw Materials,Mexico,Variable,Net 30,4.39
V0276,Raw Materials Supply Co. 276,Raw Materials,Canada,Variable,Prepaid,4.3
V0277,Raw Materials Supply Co. 277,Raw Materials,Germany,Term,Prepaid,4.56
V0278,Raw Materials Supply Co. 278,Raw Materials,Spain,Variable,Prepaid,3.84
V0279,Components Supply Co. 279,Components,Mexico,Fixed,Net 60,4.63
V0280,Components Supply Co. 280,Components,Spain,Fixed,Prepaid,4.04
V0281,Components Supply Co. 281,Components,Vietnam,Fixed,Net 60,4.17
V0282,Finished Goods Supply Co. 282,Finished Goods,Poland,Variable,Net 30,4.59
V0283,Finished Goods Supply Co. 283,Finished Goods,Canada,Fixed,Net 60,4.85
V0284,Packaging Supply Co. 284,Packaging,India,Fixed,Net 45,3.3
V0285,Packaging Supply Co. 285,Packaging,Brazil,Fixed,Net 60,4.88
V0286,Electronics Supply Co. 286,Electronics,Vietnam,Variable,Net 30,4.42
V0287,Electronics Supply Co. 287,Electronics,Poland,Variable,Net 30,3.72
V0288,Packaging Supply Co. 288,Packaging,Germany,Term,Net 45,3.41
V0289,Components Supply Co. 289,Components,Germany,Term,Net 30,5.0
V0290,Components Supply Co. 290,Components,Canada,Fixed,Prepaid,4.95
V0291,Electronics Supply Co. 291,Electronics,Poland,Variable,Net 60,3.94
V0292,Finished Goods Supply Co. 292,Finished Goods,Mexico,Variable,Prepaid,3.54
V0293,Packaging Supply Co. 293,Packaging,USA,Variable,Net 45,3.68
V0294,Packaging Supply Co. 294,Packaging,Poland,Fixed,Prepaid,4.49
V0295,Raw Materials Supply Co. 295,Raw Materials,Germany,Variable,Prepaid,4.68
V0296,Electronics Supply Co. 296,Electronics,Spain,Variable,Net 45,4.61
V0297,Finished Goods Supply Co. 297,Finished Goods,India,Variable,Net 30,4.63
V0298,Packaging Supply Co. 298,Packaging,Canada,Fixed,Prepaid,4.14
V0299,Electronics Supply Co. 299,Electronics,China,Fixed,Net 45,4.57
V0300,Raw Materials Supply Co. 300,Raw Materials,India,Fixed,Net 30,3.55
V0301,Raw Materials Supply Co. 301,Raw Materials,Canada,Fixed,Prepaid,4.94
V0302,Raw Materials Supply Co. 302,Raw Materials,USA,Fixed,Net 30,3.7
V0303,Raw Materials Supply Co. 303,Raw Materials,Brazil,Fixed,Net 60,3.37
V0304,Components Supply Co. 304,Components,Poland,Variable,Net 30,4.44
V0305,Components Supply Co. 305,Components,Spain,Variable,Net 45,3.51
V0306,Components Supply Co. 306,Components,Brazil,Variable,Net 30,3.9
V0307,Finished Goods Supply Co. 307,Finished Goods,Vietnam,Variable,Net 60,3.54
V0308,Finished Goods Supply Co. 308,Finished Goods,China,Term,Prepaid,3.32
V0309,Packaging Supply Co. 309,Packaging,Vietnam,Fixed,Net 60,4.64
V0310,Packaging Supply Co. 310,Packaging,Poland,Fixed,Net 60,4.73
V0311,Electronics Supply Co. 311,Electronics,Brazil,Variable,Prepaid,4.34
V0312,Electronics Supply Co. 312,Electronics,USA,Term,Net 45,3.68
V0313,Packaging Supply Co. 313,Packaging,Canada,Term,Net 30,3.57
V0314,Components Supply Co. 314,Components,Germany,Fixed,Prepaid,3.33
V0315,Components Supply Co. 315,Components,Mexico,Fixed,Net 45,4.95
V0316,Electronics Supply Co. 316,Electronics,USA,Term,Net 60,4.56
V0317,Finished Goods Supply Co. 317,Finished Goods,Germany,Term,Net 45,4.89
V0318,Packaging Supply Co. 318,Packaging,USA,Fixed,Net 60,3.56
V0319,Packaging Supply Co. 319,Packaging,Mexico,Fixed,Prepaid,4.96
V0320,Raw Materials Supply Co. 320,Raw Materials,Canada,Variable,Net 45,3.28
V0321,Electronics Supply Co. 321,Electronics,Vietnam,Variable,Prepaid,4.44
V0322,Finished Goods Supply Co. 322,Finished Goods,USA,Variable,Net 60,4.77
V0323,Packaging Supply Co. 323,Packaging,Brazil,Variable,Net 60,4.2
V0324,Electronics Supply Co. 324,Electronics,Poland,Fixed,Prepaid,4.17
V0325,Raw Materials Supply Co. 325,Raw Materials,Germany,Variable,Net 30,3.98
V0326,Raw Materials Supply Co. 326,Raw Materials,USA,Variable,Net 30,4.05
V0327,Raw Materials Supply Co. 327,Raw Materials,Spain,Variable,Net 60,4.92
V0328,Raw Materials Supply Co. 328,Raw Materials,India,Fixed,Prepaid,3.61
V0329,Components Supply Co. 329,Components,Brazil,Fixed,Net 45,4.03
V0330,Components Supply Co. 330,Components,USA,Fixed,Prepaid,3.83
V0331,Components Supply Co. 331,Components,Canada,Term,Net 45,4.67
V0332,Finished Goods Supply Co. 332,Finished Goods,Vietnam,Fixed,Net 60,4.55
V0333,Finished Goods Supply Co. 333,Finished Goods,India,Variable,Prepaid,4.2
V0334,Packaging Supply Co. 334,Packaging,Brazil,Fixed,Prepaid,4.73
V0335,Packaging Supply Co. 335,Packaging,Brazil,Variable,Prepaid,3.67
V0336,Electronics Supply Co. 336,Electronics,Mexico,Term,Net 45,4.52
V0337,Electronics Supply Co. 337,Electronics,Mexico,Variable,Net 45,4.53
V0338,Packaging Supply Co. 338,Packaging,China,Fixed,Net 45,3.6
V0339,Components Supply Co. 339,Components,Brazil,Term,Prepaid,4.04
V0340,Components Supply Co. 340,Components,Spain,Fixed,Net 60,4.74
V0341,Electronics Supply Co. 341,Electronics,India,Variable,Net 30,3.7
V0342,Finished Goods Supply Co. 342,Finished Goods,Spain,Fixed,Net 30,4.57
V0343,Packaging Supply Co. 343,Packaging,Poland,Variable,Net 60,3.95
V0344,Packaging Supply Co. 344,Packaging,Germany,Variable,Net 60,3.41
V0345,Raw Materials Supply Co. 345,Raw Materials,USA,Variable,Net 45,3.64
V0346,Electronics Supply Co. 346,Electronics,Mexico,Term,Net 60,4.91
V0347,Finished Goods Supply Co. 347,Finished Goods,India,Variable,Net 60,3.22
